OrderID,MenuItem,Quantity,PricePerItem,TotalPrice,Discount,Tax,OrderDate
1000,Item_4,3,19.43,58.29,1.95,0.74,2023-01-01 00:00:00
1001,Item_10,1,11.3,11.3,4.57,1.55,2023-01-01 01:00:00
1002,Item_20,4,10.33,41.32,3.79,1.95,2023-01-01 02:00:00
1003,Item_17,1,14.76,14.76,0.38,2.19,2023-01-01 03:00:00
1004,Item_16,2,6.74,13.48,2.62,2.05,2023-01-01 04:00:00
1005,Item_8,3,17.23,51.69,4.59,1.81,2023-01-01 05:00:00
1006,Item_5,1,15.11,15.11,4.83,1.32,2023-01-01 06:00:00
1007,Item_1,3,7.73,23.19,3.48,0.74,2023-01-01 07:00:00
1008,Item_7,5,10.18,50.9,1.68,1.62,2023-01-01 08:00:00
1009,Item_4,2,6.61,13.22,1.75,0.9,2023-01-01 09:00:00
1010,Item_20,3,6.64,19.919999999999998,3.73,2.17,2023-01-01 10:00:00
1011,Item_1,2,10.68,21.36,4.88,2.38,2023-01-01 11:00:00
1012,Item_2,5,14.81,74.05,2.54,2.38,2023-01-01 12:00:00
1013,Item_9,1,17.85,17.85,3.18,2.06,2023-01-01 13:00:00
1014,Item_19,4,12.1,48.4,2.67,1.68,2023-01-01 14:00:00
1015,Item_16,5,19.1,95.5,4.07,0.54,2023-01-01 15:00:00
1016,Item_9,1,11.28,11.28,1.7,1.54,2023-01-01 16:00:00
1017,Item_10,1,19.35,19.35,1.98,1.35,2023-01-01 17:00:00
1018,Item_17,1,13.66,13.66,2.22,2.02,2023-01-01 18:00:00
1019,Item_2,3,15.96,47.88,4.19,2.35,2023-01-01 19:00:00
1020,Item_10,5,15.78,78.89999999999999,3.72,1.07,2023-01-01 20:00:00
1021,Item_18,3,9.84,29.52,3.24,0.94,2023-01-01 21:00:00
1022,Item_8,2,11.02,22.04,0.83,1.36,2023-01-01 22:00:00
1023,Item_4,5,12.63,63.150000000000006,3.88,1.83,2023-01-01 23:00:00
1024,Item_14,2,11.09,22.18,2.66,2.48,2023-01-02 00:00:00
1025,Item_14,3,9.3,27.900000000000002,4.94,1.78,2023-01-02 01:00:00
1026,Item_8,2,16.97,33.94,1.78,1.46,2023-01-02 02:00:00
1027,Item_5,1,11.66,11.66,0.01,2.19,2023-01-02 03:00:00
1028,Item_11,4,8.08,32.32,0.25,1.29,2023-01-02 04:00:00
1029,Item_13,5,5.33,26.65,4.73,0.83,2023-01-02 05:00:00
1030,Item_8,2,14.92,29.84,0.81,1.22,2023-01-02 06:00:00
1031,Item_2,5,11.69,58.449999999999996,0.46,2.19,2023-01-02 07:00:00
1032,Item_20,5,7.61,38.050000000000004,0.2,0.98,2023-01-02 08:00:00
