OrderID,MenuItem,Quantity,PricePerItem,TotalPrice,Discount,Tax,OrderDate
5001,Item_8,1,13.87,13.87,3.76,1.95,2023-06-16 17:00:00
5002,Item_10,3,10.99,32.97,4.94,2.11,2023-06-16 18:00:00
5003,Item_18,2,18.81,37.62,3.77,1.09,2023-06-16 19:00:00
5004,Item_10,5,7.89,39.449999999999996,2.14,2.44,2023-06-16 20:00:00
5005,Item_18,4,8.79,35.16,2.46,1.42,2023-06-16 21:00:00
5006,Item_14,2,17.43,34.86,2.29,1.64,2023-06-16 22:00:00
5007,Item_15,2,11.89,23.78,1.99,1.91,2023-06-16 23:00:00
5008,Item_4,2,13.05,26.1,4.49,2.35,2023-06-17 00:00:00
5009,Item_11,3,7.52,22.56,3.64,1.75,2023-06-17 01:00:00
5010,Item_19,5,13.41,67.05,2.77,0.54,2023-06-17 02:00:00
5011,Item_16,5,19.5,97.5,0.88,1.96,2023-06-17 03:00:00
5012,Item_2,3,5.84,17.52,1.31,2.28,2023-06-17 04:00:00
5013,Item_17,5,13.29,66.44999999999999,1.86,0.7,2023-06-17 05:00:00
5014,Item_14,4,7.56,30.24,0.3,0.72,2023-06-17 06:00:00
5015,Item_5,1,12.41,12.41,3.51,1.85,2023-06-17 07:00:00
5016,Item_18,5,8.81,44.050000000000004,4.42,1.28,2023-06-17 08:00:00
5017,Item_3,2,8.15,16.3,4.92,1.43,2023-06-17 09:00:00
5018,Item_13,2,11.85,23.7,2.52,1.41,2023-06-17 10:00:00
5019,Item_9,5,19.85,99.25,3.11,2.11,2023-06-17 11:00:00
5020,Item_19,1,9.24,9.24,4.59,1.52,2023-06-17 12:00:00
5021,Item_4,5,9.97,49.85,1.84,2.14,2023-06-17 13:00:00
5022,Item_13,4,18.96,75.84,4.52,2.28,2023-06-17 14:00:00
5023,Item_18,2,19.11,38.22,3.96,1.39,2023-06-17 15:00:00
5024,Item_16,1,17.74,17.74,1.68,1.89,2023-06-17 16:00:00
5025,Item_3,5,18.11,90.55,1.26,1.64,2023-06-17 17:00:00
5026,Item_6,4,15.69,62.76,2.78,1.86,2023-06-17 18:00:00
5027,Item_10,3,11.68,35.04,3.44,1.48,2023-06-17 19:00:00
5028,Item_11,1,15.04,15.04,3.31,1.27,2023-06-17 20:00:00
5029,Item_4,2,14.19,28.38,1.17,0.82,2023-06-17 21:00:00
5030,Item_4,1,19.53,19.53,4.07,1.12,2023-06-17 22:00:00
5031,Item_13,4,7.23,28.92,2.69,0.93,2023-06-17 23:00:00
5032,Item_12,3,16.3,48.900000000000006,1.02,2.33,2023-06-18 00:00:00
5033,Item_13,5,19.17,95.85000000000001,4.92,1.15,2023-06-18 01:00:00
5034,Item_13,2,10.49,20.98,1.47,0.96,2023-06-18 02:00:00
5035,Item_17,1,18.99,18.99,0.91,2.08,2023-06-18 03:00:00
5036,Item_4,2,11.81,23.62,1.44,2.23,2023-06-18 04:00:00
5037,Item_18,3,17.75,53.25,2.42,1.96,2023-06-18 05:00:00
5038,Item_1,4,16.72,66.88,0.24,0.79,2023-06-18 06:00:00
5039,Item_12,3,5.85,17.549999999999997,0.97,1.03,2023-06-18 07:00:00
5040,Item_7,4,11.99,47.96,2.93,2.41,2023-06-18 08:00:00
5041,Item_3,3,16.21,48.63,1.03,0.81,2023-06-18 09:00:00
5042,Item_3,5,13.5,67.5,0.83,1.76,2023-06-18 10:00:00
5043,Item_7,4,19.99,79.96,1.32,0.9,2023-06-18 11:00:00
5044,Item_7,4,16.92,67.68,3.77,1.82,2023-06-18 12:00:00
5045,Item_6,2,16.02,32.04,1.94,1.03,2023-06-18 13:00:00
5046,Item_13,3,7.61,22.830000000000002,1.83,2.49,2023-06-18 14:00:00
5047,Item_18,4,5.81,23.24,1.4,1.68,2023-06-18 15:00:00
5048,Item_14,3,15.16,45.480000000000004,1.2,0.54,2023-06-18 16:00:00
5049,Item_16,3,10.45,31.349999999999998,3.58,2.11,2023-06-18 17:00:00
5050,Item_18,3,18.08,54.239999999999995,0.46,1.94,2023-06-18 18:00:00
5051,Item_4,2,17.31,34.62,2.65,1.54,2023-06-18 19:00:00
5052,Item_11,3,17.79,53.37,4.45,0.91,2023-06-18 20:00:00
5053,Item_3,4,7.57,30.28,4.38,2.18,2023-06-18 21:00:00
5054,Item_20,3,15.37,46.11,0.72,1.57,2023-06-18 22:00:00
5055,Item_16,1,8.2,8.2,2.74,2.26,2023-06-18 23:00:00
5056,Item_14,2,8.65,17.3,3.09,0.65,2023-06-19 00:00:00
5057,Item_13,2,14.9,29.8,2.55,1.67,2023-06-19 01:00:00
5058,Item_16,4,5.66,22.64,3.96,2.07,2023-06-19 02:00:00
5059,Item_5,2,10.79,21.58,2.76,1.35,2023-06-19 03:00:00
5060,Item_5,3,11.92,35.76,1.58,2.08,2023-06-19 04:00:00
5061,Item_16,5,7.51,37.55,0.24,1.25,2023-06-19 05:00:00
5062,Item_20,5,12.52,62.599999999999994,4.74,0.85,2023-06-19 06:00:00
5063,Item_1,4,12.22,48.88,4.41,2.12,2023-06-19 07:00:00
5064,Item_14,3,6.99,20.97,1.16,1.29,2023-06-19 08:00:00
5065,Item_4,4,15.43,61.72,1.71,0.98,2023-06-19 09:00:00
5066,Item_6,5,14.86,74.3,2.14,0.93,2023-06-19 10:00:00
5067,Item_4,1,12.96,12.96,4.01,0.58,2023-06-19 11:00:00
5068,Item_17,3,17.36,52.08,1.55,0.79,2023-06-19 12:00:00
5069,Item_2,2,14.44,28.88,1.33,2.32,2023-06-19 13:00:00
5070,Item_1,4,16.78,67.12,4.95,2.0,2023-06-19 14:00:00
5071,Item_14,3,10.76,32.28,1.22,0.83,2023-06-19 15:00:00
5072,Item_11,4,5.39,21.56,4.87,2.25,2023-06-19 16:00:00
5073,Item_20,4,13.63,54.52,2.87,1.29,2023-06-19 17:00:00
5074,Item_6,1,17.62,17.62,1.76,1.95,2023-06-19 18:00:00
5075,Item_13,1,15.65,15.65,0.52,0.82,2023-06-19 19:00:00
5076,Item_11,5,16.97,84.85,1.62,2.03,2023-06-19 20:00:00
5077,Item_6,5,5.59,27.95,3.98,1.56,2023-06-19 21:00:00
5078,Item_13,2,10.41,20.82,1.53,0.79,2023-06-19 22:00:00
5079,Item_19,4,9.99,39.96,3.04,2.45,2023-06-19 23:00:00
5080,Item_6,5,18.59,92.95,4.99,2.11,2023-06-20 00:00:00
5081,Item_11,5,14.42,72.1,4.59,2.31,2023-06-20 01:00:00
5082,Item_19,2,18.32,36.64,2.25,0.55,2023-06-20 02:00:00
5083,Item_18,1,17.79,17.79,3.57,0.91,2023-06-20 03:00:00
5084,Item_16,2,19.93,39.86,4.25,1.89,2023-06-20 04:00:00
5085,Item_12,1,18.84,18.84,2.82,1.38,2023-06-20 05:00:00
5086,Item_3,5,11.15,55.75,0.9,1.19,2023-06-20 06:00:00
5087,Item_20,4,6.48,25.92,2.78,0.73,2023-06-20 07:00:00
5088,Item_2,2,19.81,39.62,4.46,0.59,2023-06-20 08:00:00
5089,Item_18,2,15.37,30.74,1.07,1.84,2023-06-20 09:00:00
5090,Item_1,5,18.94,94.7,4.07,1.07,2023-06-20 10:00:00
5091,Item_1,2,8.28,16.56,3.32,0.74,2023-06-20 11:00:00
5092,Item_7,2,18.6,37.2,0.5,1.68,2023-06-20 12:00:00
5093,Item_12,4,15.11,60.44,1.92,2.15,2023-06-20 13:00:00
5094,Item_6,3,8.31,24.93,4.55,2.29,2023-06-20 14:00:00
5095,Item_13,3,5.41,16.23,4.37,1.76,2023-06-20 15:00:00
5096,Item_13,2,10.4,20.8,4.41,1.19,2023-06-20 16:00:00
5097,Item_13,3,11.59,34.769999999999996,3.51,0.61,2023-06-20 17:00:00
5098,Item_3,4,15.1,60.4,2.12,0.62,2023-06-20 18:00:00
5099,Item_11,5,7.29,36.45,0.09,1.63,2023-06-20 19:00:00
5100,Item_10,1,13.96,13.96,4.28,2.36,2023-06-20 20:00:00
5101,Item_8,2,12.36,24.72,4.59,0.83,2023-06-20 21:00:00
5102,Item_20,4,10.69,42.76,4.91,1.62,2023-06-20 22:00:00
5103,Item_7,1,5.98,5.98,2.2,2.16,2023-06-20 23:00:00
5104,Item_16,2,13.76,27.52,0.43,1.71,2023-06-21 00:00:00
